line_name,planning_year,case,start_region,dest_region,value
SPPC_to_SPPN,2030,full-base-200,SPPC,SPPN,7.333333333333333
CASO_to_SRSG,2040,full-base-200,CASO,SRSG,1294.5
SPPC_to_SPPN,2050,full-base-200,SPPC,SPPN,15.333333333333334
CASO_to_SRSG,2027,full-base-200,CASO,SRSG,0.0
CANO_to_NWPP,2045,full-base-200,CANO,NWPP,0.0
RMRG_to_SRSG,2030,full-base-200,RMRG,SRSG,378.0
CANO_to_NWPP,2040,full-base-200,CANO,NWPP,0.0
CASO_to_NWPP,2050,full-base-200,CASO,NWPP,0.0
SPPC_to_SPPS,2040,full-base-200,SPPC,SPPS,135.66666666666666
CASO_to_SRSG,2035,full-base-200,CASO,SRSG,1403.75
CASO_to_NWPP,2045,full-base-200,CASO,NWPP,0.0
CASO_to_SRSG,2050,full-base-200,CASO,SRSG,20.0
RMRG_to_SRSG,2027,full-base-200,RMRG,SRSG,1.5
RMRG_to_SPPN,2050,full-base-200,RMRG,SPPN,945.5
CASO_to_NWPP,2030,full-base-200,CASO,NWPP,0.0
RMRG_to_SRSG,2050,full-base-200,RMRG,SRSG,86.66666666666667
SPPC_to_SPPS,2035,full-base-200,SPPC,SPPS,159.66666666666666
RMRG_to_SPPN,2030,full-base-200,RMRG,SPPN,1634.25
RMRG_to_SRSG,2045,full-base-200,RMRG,SRSG,378.75
RMRG_to_SRSG,2040,full-base-200,RMRG,SRSG,74.0
MISW_to_NWPP,2045,full-base-200-tx-0,MISW,NWPP,0.0
PJMW_to_SRCE,2030,full-base-200-tx-0,PJMW,SRCE,0.0
SRCA_to_SRSE,2050,full-base-200-tx-0,SRCA,SRSE,0.0
SRCE_to_SRSE,2027,full-base-200-tx-0,SRCE,SRSE,0.0
SRCE_to_SRSE,2030,full-base-200-tx-0,SRCE,SRSE,0.0
MISW_to_NWPP,2040,full-base-200-tx-0,MISW,NWPP,0.0
RMRG_to_SRSG,2027,full-base-200-tx-0,RMRG,SRSG,0.0
MISW_to_NWPP,2030,full-base-200-tx-0,MISW,NWPP,0.0
PJMW_to_SRCE,2027,full-base-200-tx-0,PJMW,SRCE,0.0
PJMW_to_SRCA,2050,full-base-200-tx-0,PJMW,SRCA,0.0
MISW_to_NWPP,2027,full-base-200-tx-0,MISW,NWPP,0.0
MISW_to_NWPP,2035,full-base-200-tx-0,MISW,NWPP,0.0
PJMW_to_SRCA,2045,full-base-200-tx-0,PJMW,SRCA,0.0
SRCA_to_SRSE,2045,full-base-200-tx-0,SRCA,SRSE,0.0
MISW_to_SPPC,2040,full-base-200-tx-0,MISW,SPPC,0.0
SRCA_to_SRCE,2045,full-base-200-tx-0,SRCA,SRCE,0.0
PJMW_to_SRCA,2030,full-base-200-tx-0,PJMW,SRCA,0.0
MISW_to_SPPC,2035,full-base-200-tx-0,MISW,SPPC,0.0
SRCA_to_SRCE,2050,full-base-200-tx-0,SRCA,SRCE,0.0
MISW_to_SPPC,2030,full-base-200-tx-0,MISW,SPPC,0.0
MISW_to_SPPC,2027,full-base-200-tx-0,MISW,SPPC,0.0
PJMW_to_SRCA,2035,full-base-200-tx-0,PJMW,SRCA,0.0
SRCA_to_SRSE,2027,full-base-200-tx-0,SRCA,SRSE,0.0
MISW_to_PJMC,2050,full-base-200-tx-0,MISW,PJMC,0.0
RMRG_to_SRSG,2035,full-base-200-tx-0,RMRG,SRSG,0.0
SRCA_to_SRSE,2030,full-base-200-tx-0,SRCA,SRSE,0.0
TRE_to_TREW,2045,full-base-200-tx-0,TRE,TREW,0.0
MISW_to_PJMC,2040,full-base-200-tx-0,MISW,PJMC,0.0
